freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.782e+02,3.719e+01,6.669e+01,8.821e+02
1.5,4.557e+02,3.740e+01,5.833e+01,5.515e+02
3.1,4.172e+01,1.939e+01,2.517e+01,8.629e+01
4.6,3.748e+02,3.651e+01,2.671e+01,4.380e+02
6.1,1.207e+03,1.257e+02,2.928e+01,1.362e+03
7.6,1.816e+03,6.736e+01,3.154e+01,1.915e+03
9.2,2.681e+03,2.444e+01,3.412e+01,2.740e+03
10.7,3.752e+03,2.321e+01,3.068e+01,3.806e+03
12.2,5.049e+03,2.191e+01,3.462e+01,5.106e+03
13.7,6.640e+03,2.398e+01,3.996e+01,6.704e+03
15.3,8.489e+03,2.597e+01,4.299e+01,8.558e+03
16.8,1.068e+04,2.821e+01,5.274e+01,1.077e+04
18.3,1.308e+04,2.753e+01,6.609e+01,1.317e+04
19.9,1.615e+04,3.833e+01,7.849e+01,1.627e+04
21.4,1.967e+04,5.369e+01,9.071e+01,1.981e+04
22.9,2.395e+04,7.593e+01,1.122e+02,2.414e+04
24.4,2.963e+04,1.187e+02,1.637e+02,2.991e+04
26.0,3.598e+04,1.778e+02,2.317e+02,3.639e+04
27.5,4.352e+04,2.400e+02,3.069e+02,4.407e+04
29.0,5.456e+04,3.197e+02,4.390e+02,5.532e+04
30.6,6.625e+04,5.105e+02,5.915e+02,6.735e+04
32.1,7.096e+04,9.686e+02,4.917e+02,7.242e+04
33.6,7.848e+04,1.580e+03,3.339e+02,8.039e+04
35.1,1.006e+05,1.887e+03,7.234e+02,1.032e+05
36.7,1.290e+05,2.162e+03,1.379e+03,1.326e+05
38.2,1.589e+05,3.424e+03,1.695e+03,1.640e+05
39.7,1.995e+05,5.775e+03,1.996e+03,2.073e+05
41.2,2.512e+05,9.228e+03,2.036e+03,2.625e+05
42.8,3.173e+05,1.531e+04,2.165e+03,3.348e+05
44.3,4.054e+05,2.898e+04,5.060e+03,4.394e+05
45.8,5.129e+05,5.219e+04,3.358e+04,5.986e+05
47.4,6.597e+05,5.349e+04,9.530e+04,8.085e+05
48.9,8.959e+05,2.885e+04,1.166e+05,1.041e+06
50.4,1.291e+06,7.498e+03,1.144e+05,1.413e+06
51.9,1.825e+06,3.699e+03,1.147e+05,1.944e+06
53.5,2.433e+06,1.100e+04,1.298e+05,2.574e+06
55.0,2.786e+06,1.360e+04,1.463e+05,2.946e+06
56.5,2.755e+06,1.928e+04,1.457e+05,2.920e+06
58.0,2.464e+06,2.401e+04,1.340e+05,2.622e+06
59.6,2.125e+06,2.096e+04,1.227e+05,2.269e+06
61.1,1.550e+06,1.724e+04,1.039e+05,1.671e+06
62.6,9.747e+05,1.707e+04,8.119e+04,1.073e+06
64.2,6.812e+05,1.639e+04,6.398e+04,7.616e+05
65.7,3.976e+05,1.491e+04,4.696e+04,4.595e+05
67.2,2.917e+05,1.573e+04,3.958e+04,3.470e+05
68.7,2.427e+05,1.792e+04,3.753e+04,2.982e+05
70.3,2.190e+05,2.059e+04,3.950e+04,2.791e+05
71.8,2.022e+05,2.265e+04,4.030e+04,2.651e+05
73.3,1.937e+05,2.325e+04,3.772e+04,2.547e+05
74.9,1.868e+05,2.335e+04,3.384e+04,2.440e+05
76.4,1.805e+05,2.386e+04,3.011e+04,2.345e+05
77.9,1.764e+05,2.410e+04,2.718e+04,2.277e+05
79.4,1.708e+05,2.419e+04,2.396e+04,2.189e+05
81.0,1.645e+05,2.492e+04,2.158e+04,2.110e+05
82.5,1.558e+05,2.569e+04,1.999e+04,2.015e+05
84.0,1.476e+05,2.723e+04,1.948e+04,1.943e+05
85.5,1.396e+05,2.846e+04,1.905e+04,1.871e+05
87.1,1.337e+05,2.970e+04,1.944e+04,1.829e+05
88.6,1.293e+05,3.212e+04,2.041e+04,1.818e+05
90.1,1.257e+05,3.419e+04,2.087e+04,1.808e+05
91.7,1.217e+05,3.514e+04,2.067e+04,1.775e+05
93.2,1.180e+05,3.667e+04,2.104e+04,1.757e+05
94.7,1.134e+05,3.958e+04,2.197e+04,1.750e+05
96.2,1.102e+05,4.356e+04,2.296e+04,1.767e+05
97.8,1.050e+05,4.754e+04,2.324e+04,1.758e+05
99.3,9.970e+04,5.282e+04,2.321e+04,1.757e+05
100.8,9.654e+04,5.970e+04,2.257e+04,1.788e+05
102.3,9.797e+04,6.987e+04,2.178e+04,1.896e+05
103.9,9.982e+04,8.129e+04,2.080e+04,2.019e+05
105.4,9.884e+04,8.993e+04,1.859e+04,2.074e+05
106.9,9.643e+04,9.636e+04,1.718e+04,2.100e+05
108.5,9.476e+04,1.066e+05,1.802e+04,2.193e+05
110.0,9.542e+04,1.293e+05,2.078e+04,2.455e+05
111.5,9.575e+04,1.529e+05,2.474e+04,2.734e+05
113.0,9.566e+04,1.677e+05,3.025e+04,2.936e+05
114.6,1.025e+05,1.728e+05,3.767e+04,3.129e+05
116.1,1.132e+05,1.568e+05,4.905e+04,3.191e+05
117.6,1.216e+05,1.335e+05,6.414e+04,3.193e+05
119.2,1.278e+05,1.058e+05,8.068e+04,3.142e+05
120.7,1.320e+05,8.752e+04,9.586e+04,3.153e+05
122.2,1.484e+05,7.243e+04,1.224e+05,3.433e+05
123.7,1.618e+05,6.338e+04,1.481e+05,3.733e+05
125.3,1.592e+05,6.297e+04,1.555e+05,3.777e+05
126.8,1.505e+05,6.264e+04,1.529e+05,3.661e+05
128.3,1.520e+05,6.269e+04,1.613e+05,3.760e+05
129.8,1.646e+05,6.875e+04,1.891e+05,4.224e+05
131.4,1.820e+05,7.813e+04,2.263e+05,4.864e+05
132.9,1.251e+05,5.437e+04,1.619e+05,3.413e+05
134.4,2.691e+04,1.042e+04,3.115e+04,6.848e+04
136.0,1.661e+04,5.350e+03,1.626e+04,3.822e+04
137.5,1.936e+04,6.448e+03,1.909e+04,4.490e+04
139.0,2.206e+04,8.036e+03,2.221e+04,5.231e+04
140.5,2.351e+04,9.616e+03,2.417e+04,5.730e+04
142.1,2.672e+04,1.176e+04,2.756e+04,6.603e+04
143.6,3.265e+04,1.428e+04,3.352e+04,8.044e+04
145.1,3.819e+04,1.641e+04,3.922e+04,9.383e+04
146.6,4.393e+04,1.817e+04,4.475e+04,1.068e+05
148.2,5.107e+04,2.004e+04,5.125e+04,1.224e+05
149.7,6.134e+04,2.279e+04,6.057e+04,1.447e+05
151.2,7.361e+04,2.572e+04,7.070e+04,1.700e+05
152.8,8.465e+04,2.780e+04,7.791e+04,1.904e+05
154.3,9.371e+04,2.893e+04,8.228e+04,2.049e+05
155.8,1.014e+05,2.971e+04,8.506e+04,2.162e+05
157.3,1.087e+05,3.052e+04,8.685e+04,2.261e+05
158.9,1.125e+05,3.033e+04,8.458e+04,2.274e+05
160.4,1.214e+05,3.248e+04,8.618e+04,2.401e+05
161.9,1.227e+05,3.260e+04,8.278e+04,2.380e+05
163.5,1.098e+05,2.923e+04,7.116e+04,2.102e+05
165.0,9.739e+04,2.579e+04,6.121e+04,1.844e+05
166.5,9.016e+04,2.338e+04,5.563e+04,1.692e+05
168.0,8.053e+04,2.069e+04,4.954e+04,1.508e+05
169.6,7.237e+04,1.868e+04,4.538e+04,1.364e+05
171.1,6.716e+04,1.668e+04,4.121e+04,1.250e+05
172.6,5.919e+04,1.425e+04,3.605e+04,1.095e+05
174.1,5.432e+04,1.273e+04,3.275e+04,9.980e+04
175.7,5.604e+04,1.327e+04,3.352e+04,1.028e+05
177.2,4.048e+04,1.019e+04,2.538e+04,7.605e+04
178.7,3.608e+04,1.056e+04,2.429e+04,7.093e+04
180.3,3.869e+04,1.168e+04,2.599e+04,7.637e+04
181.8,3.833e+04,1.198e+04,2.628e+04,7.658e+04
183.3,3.190e+04,1.046e+04,2.298e+04,6.534e+04
184.8,1.851e+04,6.581e+03,1.396e+04,3.905e+04
186.4,1.572e+04,5.869e+03,1.181e+04,3.340e+04
187.9,1.786e+04,6.962e+03,1.384e+04,3.866e+04
189.4,1.766e+04,7.339e+03,1.405e+04,3.905e+04
190.9,1.350e+04,6.394e+03,1.147e+04,3.137e+04
192.5,9.254e+03,4.856e+03,8.610e+03,2.272e+04
194.0,5.617e+03,3.413e+03,5.828e+03,1.486e+04
195.5,4.293e+03,2.901e+03,4.801e+03,1.200e+04
197.1,3.420e+03,2.632e+03,4.178e+03,1.023e+04
198.6,2.935e+03,2.488e+03,3.780e+03,9.203e+03
