freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.329e+01,4.260e+02,2.857e+02,7.250e+02
1.5,2.716e+01,2.488e+02,1.781e+02,4.541e+02
3.1,2.817e+01,2.401e+01,2.258e+01,7.475e+01
4.6,2.978e+01,3.659e+02,1.973e+01,4.154e+02
6.1,4.020e+01,1.202e+03,2.072e+01,1.263e+03
7.6,3.012e+01,1.703e+03,2.061e+01,1.754e+03
9.2,2.666e+01,2.547e+03,2.061e+01,2.594e+03
10.7,3.079e+01,3.664e+03,2.201e+01,3.717e+03
12.2,3.068e+01,5.218e+03,2.303e+01,5.272e+03
13.7,3.160e+01,7.149e+03,2.258e+01,7.203e+03
15.3,3.316e+01,9.427e+03,2.274e+01,9.483e+03
16.8,3.498e+01,1.168e+04,2.448e+01,1.174e+04
18.3,3.288e+01,1.542e+04,3.076e+01,1.548e+04
19.9,3.589e+01,2.063e+04,4.553e+01,2.071e+04
21.4,3.591e+01,2.552e+04,6.595e+01,2.562e+04
22.9,3.564e+01,3.152e+04,1.092e+02,3.166e+04
24.4,4.793e+01,4.018e+04,1.966e+02,4.042e+04
26.0,5.727e+01,5.167e+04,3.941e+02,5.212e+04
27.5,5.925e+01,6.761e+04,8.043e+02,6.847e+04
29.0,7.590e+01,9.072e+04,1.608e+03,9.241e+04
30.5,1.664e+02,1.269e+05,3.293e+03,1.304e+05
32.1,6.512e+02,1.875e+05,7.058e+03,1.952e+05
33.6,1.571e+03,2.647e+05,1.401e+04,2.803e+05
35.1,1.509e+03,3.193e+05,2.125e+04,3.420e+05
36.7,1.493e+03,4.652e+05,5.059e+04,5.172e+05
38.2,3.548e+03,7.099e+05,1.132e+05,8.267e+05
39.7,6.650e+03,1.031e+06,2.119e+05,1.250e+06
41.2,6.872e+03,1.300e+06,3.568e+05,1.664e+06
42.8,5.024e+03,1.118e+06,4.194e+05,1.542e+06
44.3,5.016e+03,5.174e+05,2.958e+05,8.182e+05
45.8,7.860e+03,2.370e+05,2.262e+05,4.710e+05
47.3,8.235e+03,1.523e+05,2.463e+05,4.068e+05
48.9,7.128e+03,1.123e+05,3.338e+05,4.532e+05
50.4,7.940e+03,9.190e+04,4.728e+05,5.726e+05
51.9,8.152e+03,7.567e+04,5.974e+05,6.812e+05
53.5,1.397e+04,6.752e+04,8.229e+05,9.044e+05
55.0,3.571e+04,7.266e+04,1.154e+06,1.262e+06
56.5,5.844e+04,8.908e+04,1.017e+06,1.164e+06
58.0,6.156e+04,9.905e+04,6.171e+05,7.777e+05
59.6,4.065e+04,9.080e+04,4.267e+05,5.582e+05
61.1,2.335e+04,7.910e+04,3.540e+05,4.565e+05
62.6,1.453e+04,6.909e+04,2.953e+05,3.789e+05
64.2,9.424e+03,5.988e+04,2.435e+05,3.128e+05
65.7,7.030e+03,5.322e+04,2.090e+05,2.692e+05
67.2,5.508e+03,4.878e+04,1.816e+05,2.359e+05
68.7,4.934e+03,4.448e+04,1.586e+05,2.080e+05
70.3,4.436e+03,4.189e+04,1.492e+05,1.955e+05
71.8,4.100e+03,4.288e+04,1.506e+05,1.976e+05
73.3,4.012e+03,4.679e+04,1.502e+05,2.010e+05
74.8,3.749e+03,5.064e+04,1.437e+05,1.981e+05
76.4,3.170e+03,5.128e+04,1.289e+05,1.834e+05
77.9,2.579e+03,5.015e+04,1.140e+05,1.667e+05
79.4,2.051e+03,4.702e+04,9.813e+04,1.472e+05
81.0,1.567e+03,4.160e+04,7.681e+04,1.200e+05
82.5,1.074e+03,3.624e+04,5.685e+04,9.417e+04
84.0,7.856e+02,3.199e+04,4.150e+04,7.427e+04
85.5,6.555e+02,2.918e+04,3.240e+04,6.223e+04
87.1,6.164e+02,2.749e+04,2.879e+04,5.689e+04
88.6,5.874e+02,2.613e+04,2.726e+04,5.398e+04
90.1,5.766e+02,2.481e+04,2.475e+04,5.014e+04
91.6,6.063e+02,2.361e+04,1.955e+04,4.376e+04
93.2,6.979e+02,2.223e+04,1.458e+04,3.750e+04
94.7,9.482e+02,2.114e+04,1.093e+04,3.302e+04
96.2,1.222e+03,1.973e+04,7.645e+03,2.860e+04
97.8,1.378e+03,1.849e+04,5.082e+03,2.495e+04
99.3,1.353e+03,1.803e+04,3.619e+03,2.300e+04
100.8,1.197e+03,1.832e+04,2.838e+03,2.236e+04
102.3,1.016e+03,1.848e+04,2.063e+03,2.156e+04
103.9,9.679e+02,1.873e+04,2.200e+03,2.190e+04
105.4,1.458e+03,2.045e+04,3.951e+03,2.586e+04
106.9,3.556e+03,2.640e+04,7.981e+03,3.794e+04
108.4,6.259e+03,3.233e+04,1.157e+04,5.015e+04
110.0,7.302e+03,3.436e+04,1.241e+04,5.406e+04
111.5,7.210e+03,3.628e+04,1.168e+04,5.518e+04
113.0,7.778e+03,4.361e+04,1.080e+04,6.219e+04
114.6,7.799e+03,5.295e+04,9.352e+03,7.010e+04
116.1,6.832e+03,5.909e+04,8.628e+03,7.455e+04
117.6,5.771e+03,6.035e+04,9.630e+03,7.575e+04
119.1,4.814e+03,5.492e+04,1.080e+04,7.053e+04
120.7,4.072e+03,4.253e+04,1.140e+04,5.801e+04
122.2,3.297e+03,3.261e+04,1.251e+04,4.842e+04
123.7,2.879e+03,2.642e+04,1.365e+04,4.294e+04
125.2,2.946e+03,2.219e+04,1.453e+04,3.966e+04
126.8,3.404e+03,1.936e+04,1.475e+04,3.751e+04
128.3,3.951e+03,1.821e+04,1.509e+04,3.725e+04
129.8,4.057e+03,1.819e+04,1.546e+04,3.771e+04
131.4,3.401e+03,1.805e+04,1.604e+04,3.748e+04
132.9,2.009e+03,1.211e+04,1.092e+04,2.503e+04
134.4,7.445e+02,3.316e+03,2.013e+03,6.074e+03
135.9,6.667e+02,1.900e+03,9.840e+02,3.550e+03
137.5,7.366e+02,1.723e+03,1.109e+03,3.568e+03
139.0,7.605e+02,1.464e+03,1.149e+03,3.373e+03
140.5,7.574e+02,1.172e+03,1.167e+03,3.096e+03
142.0,7.423e+02,9.549e+02,1.221e+03,2.918e+03
143.6,7.383e+02,7.181e+02,1.257e+03,2.713e+03
145.1,7.636e+02,5.565e+02,1.341e+03,2.661e+03
146.6,7.588e+02,5.002e+02,1.541e+03,2.800e+03
148.2,8.016e+02,4.990e+02,1.719e+03,3.019e+03
149.7,8.720e+02,4.965e+02,1.819e+03,3.187e+03
151.2,9.511e+02,5.435e+02,1.988e+03,3.482e+03
152.7,1.099e+03,6.318e+02,2.230e+03,3.961e+03
154.3,1.253e+03,7.688e+02,2.486e+03,4.509e+03
155.8,1.320e+03,9.976e+02,2.876e+03,5.194e+03
157.3,1.610e+03,1.066e+03,3.065e+03,5.741e+03
158.9,2.256e+03,8.104e+02,3.015e+03,6.081e+03
160.4,2.955e+03,7.435e+02,3.551e+03,7.249e+03
161.9,3.407e+03,6.713e+02,3.856e+03,7.934e+03
163.4,3.646e+03,6.876e+02,3.683e+03,8.016e+03
